tmdb_id,imdb_id,original_language,original_title,genre_id,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,providers,iso_country,country_name,budget,revenue,runtime
331446,tt3899796,en,Sharknado 3: Oh Hell No!,['Comedy'],22/07/2015,False,False,17.516,4.7,436,4.0,13083,['Stan'],US,United States of America,0,0,88
378961,tt4167832,en,Good Funk,"['Horror', 'Mystery', 'Thriller']",24/07/2015,False,False,0.633,0.0,0,7.1,14,['Amazon Prime Video'],US,United States of America,0,0,73
300153,tt2948840,en,Life,"['Action', 'Horror', 'Thriller']",24/07/2015,False,False,9.281,6.0,317,6.0,8542,['Stan'],AU,Australia,12000000,0,112
332704,tt2784936,en,Backtrack,"['Action', 'Comedy', 'Romance']",25/07/2015,False,False,9.218,5.8,319,5.9,12764,['Stan'],AU,Australia,0,0,90
296099,tt1524930,en,Vacation,"['Drama', 'Thriller']",28/07/2015,False,False,48.16,6.3,3296,6.1,114109,['Netflix'],US,United States of America,31000000,104384188,99
309809,tt1754656,en,The Little Prince,"['Drama', 'History']",29/07/2015,False,False,25.692,7.6,2482,7.7,63043,['Netflix'],FR,France,64000000,97571250,108
342474,tt3289712,en,Jenny's Wedding,"['Horror', 'Fantasy']",31/07/2015,False,False,9.041,5.7,372,5.6,11439,['Stan'],US,United States of America,0,0,94
328425,tt4178092,en,The Gift,"['Drama', 'Romance']",31/07/2015,False,False,19.548,6.7,2831,7.0,160538,"['Netflix', 'Stan']",AU,Australia,5000000,58978653,108
309581,tt3442990,en,Lila & Eve,"['Animation', 'Family', 'Music']",31/07/2015,False,False,7.776,6.1,207,5.8,8680,['Amazon Prime Video'],US,United States of America,0,0,94
352036,tt4888576,en,Jay Pharoah: Can I Be Me?,"['Romance', 'TV Movie']",1/08/2015,False,False,2.278,6.1,5,6.0,140,['Amazon Prime Video'],US,United States of America,0,0,62
348631,tt4041382,en,Gourmet Detective: A Healthy Place to Die,"['Fantasy', 'Comedy', 'Drama']",2/08/2015,False,False,5.233,6.9,33,6.7,1214,['Amazon Prime Video'],US,United States of America,0,0,84
351868,tt3742300,en,Appetites,"['Romance', 'Drama']",4/08/2015,False,False,3.165,4.9,16,3.5,402,['Amazon Prime Video'],US,United States of America,0,0,106
