,adult,genre_id,tmdb_id,imdb_id,budget,revenue,original_title,original_language,popularity,release_date,title,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
132,False,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",331,tt0163025,93000000,368780809,Jurassic Park III,en,2.05,2001-07-18,Jurassic Park III,6.113,6201,Comedy,Family,,,,
133,False,"['Comedy', 'Family']",55181,tt0284431,0,0,The Retrievers,en,2.46,2001-07-27,The Retrievers,5.6,7,Drama,Horror,Thriller,TV Movie,,
134,False,"['Drama', 'Horror', 'Thriller', 'TV Movie']",72869,tt0292698,0,0,Spirit,en,2.336,2001-08-01,Spirit,7.0,1,Action,Horror,Thriller,,,
135,False,"['Action', 'Horror', 'Thriller']",61698,tt0290884,0,0,Tail Sting,en,2.607,2001-08-01,Tail Sting,2.3,6,Drama,Crime,,,,
136,False,"['Drama', 'Crime']",79053,tt0242586,0,0,100 Kilos,en,3.071,2001-08-03,100 Kilos,5.0,4,Comedy,Romance,,,,
137,False,"['Comedy', 'Romance']",2770,tt0252866,30000000,287553595,American Pie 2,en,46.753,2001-08-10,American Pie 2,6.208,4310,Drama,,,,,
138,False,['Drama'],286369,tt0249624,0,0,Gabriel & Me,en,0.749,2001-08-13,Gabriel & Me,5.0,2,Western,Action,,,,
139,False,"['Western', 'Action']",13496,tt0244000,35000000,13678913,American Outlaws,en,17.462,2001-08-17,American Outlaws,6.04,200,Action,Mystery,Thriller,,,
140,False,"['Action', 'Mystery', 'Thriller']",53000,tt0271200,0,0,Soul Assassin,en,4.5,2001-08-23,Soul Assassin,5.2,8,Comedy,Drama,Romance,,,
141,False,"['Comedy', 'Drama', 'Romance']",15104,tt0255653,0,4574762,Tortilla Soup,en,8.911,2001-08-24,Tortilla Soup,5.9,37,Comedy,,,,,
142,False,['Comedy'],13777,tt0172543,0,0,He Died with a Felafel in His Hand,en,5.405,2001-08-30,He Died with a Felafel in His Hand,7.114,110,Crime,Thriller,,,,
143,False,"['Crime', 'Thriller']",7501,tt0211465,15000000,12000000,Knockaround Guys,en,9.566,2001-09-07,Knockaround Guys,5.896,280,Action,Thriller,,,,
144,False,"['Action', 'Thriller']",62476,tt0280962,0,0,Mr In-Between,en,3.07,2001-09-10,Mr In-Between,5.571,14,Documentary,,,,,
146,False,['Documentary'],456600,tt0310346,0,0,Westray,en,0.6,2001-09-14,Westray,0.0,0,Drama,Thriller,,,,
147,False,"['Comedy', 'Drama']",57558,tt0275764,0,0,Vacuuming Completely Nude in Paradise,en,2.266,2001-09-14,Vacuuming Completely Nude in Paradise,5.462,13,Animation,Family,,,,
148,False,"['Drama', 'Thriller']",2176,tt0221218,30000000,23619609,The Glass House,en,19.986,2001-09-14,The Glass House,5.862,834,Crime,Drama,Mystery,,,
149,False,"['Animation', 'Family']",15167,tt0288441,0,0,Barbie in the Nutcracker,en,50.225,2001-09-30,Barbie in the Nutcracker,6.813,915,Crime,Drama,Thriller,,,
150,False,"['Crime', 'Drama', 'Mystery']",9523,tt0259393,0,0,Lantana,en,12.074,2001-10-04,Lantana,6.623,166,Comedy,Family,,,,
151,False,"['Crime', 'Drama', 'Thriller']",57743,tt0219126,1000000,0,The Learning Curve,en,2.453,2001-10-05,The Learning Curve,5.0,4,Comedy,Romance,Drama,,,
