,tmdb_id,imdb_id,original_language,original_title,release_date,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,budget,revenue
383,5255,tt0338348,en,The Polar Express,10/11/2004,6.7,5399,6.6,218249,165000000,310634054
385,11836,tt0345950,en,The SpongeBob SquarePants Movie,14/11/2004,7.0,2431,7.1,93054,30000000,140161792
391,70,tt0405159,en,Million Dollar Baby,15/12/2004,8.0,8380,8.1,689796,30000000,216763646
392,11774,tt0339291,en,Lemony Snicket's A Series of Unfortunate Events,16/12/2004,6.8,4494,6.8,211649,140000000,209073645
394,693,tt0290002,en,Meet the Fockers,22/12/2004,6.2,4215,6.3,273985,80000000,516642939
397,83791,tt0465417,en,Living with the Enemy,1/01/2005,6.7,6,5.3,779,0,0
400,18070,tt0443450,en,Black Dawn,1/01/2005,4.2,65,3.8,3878,16000000,63709
402,7214,tt0393162,en,Coach Carter,14/01/2005,7.5,2355,7.3,152837,30000000,76669806
404,14166,tt0381505,en,Pretty Persuasion,22/01/2005,5.8,110,6.5,10523,0,0
405,11354,tt0365885,en,The Upside of Anger,23/01/2005,6.2,214,6.8,22310,12000000,28237488
406,53905,tt0409034,en,Marilyn Hotchkiss' Ballroom Dancing & Charm School,24/01/2005,5.8,56,6.5,3400,2500000,0
407,12142,tt0369226,en,Alone in the Dark,28/01/2005,3.2,502,2.4,45856,20000000,12693645
408,8968,tt0357507,en,Boogeyman,4/02/2005,4.9,638,4.1,31504,20000000,67192859
410,561,tt0360486,en,Constantine,8/02/2005,7.0,6033,7.0,350429,100000000,230884728
413,9701,tt0395972,en,North Country,12/02/2005,7.2,518,7.3,43317,35000000,25224242
414,10598,tt0439544,en,Dirty,14/02/2005,5.3,84,5.5,5658,3000000,0
417,13498,tt0331933,en,Man of the House,25/02/2005,5.7,397,5.4,24347,40000000,21577624
419,4551,tt0377471,en,Be Cool,4/03/2005,5.4,755,5.6,70358,53000000,95226116
424,11638,tt0372237,en,Guess Who,25/03/2005,5.9,783,5.9,43534,35000000,103121466
428,10065,tt0384806,en,The Amityville Horror,14/04/2005,6.1,1897,5.9,113385,19000000,108047131
429,10040,tt0385307,en,Miss Congeniality 2: Armed and Fabulous,14/04/2005,5.7,1604,5.1,76334,0,101393569
431,163062,tt0456145,en,Lies and Deception,24/04/2005,5.0,4,5.3,513,0,0
433,10066,tt0397065,en,House of Wax,30/04/2005,5.9,2559,5.4,126495,40000000,68766121
436,4379,tt0369735,en,Monster-in-Law,13/05/2005,6.2,1433,5.5,62650,43000000,154749918
438,953,tt0351283,en,Madagascar,25/05/2005,6.9,9564,6.9,408140,75000000,542063846
441,787,tt0356910,en,Mr. & Mrs. Smith,7/06/2005,6.7,9059,6.5,501029,110000000,487287646
442,272,tt0372784,en,Batman Begins,10/06/2005,7.7,18581,8.2,1473891,150000000,374218673
445,9392,tt0435625,en,The Descent,8/07/2005,7.0,3226,7.2,228348,3500000,57130027
446,9522,tt0396269,en,Wedding Crashers,13/07/2005,6.5,3856,7.0,359380,40000000,288485135
447,118,tt0367594,en,Charlie and the Chocolate Factory,13/07/2005,7.0,13223,6.7,486816,150000000,474968763
448,9993,tt0382810,en,Little Fish,19/07/2005,5.9,86,6.2,8892,0,3248506
450,11648,tt0417001,en,Must Love Dogs,21/07/2005,5.9,406,5.9,32246,30000000,58405313
452,1696,tt0395584,en,The Devil's Rejects,22/07/2005,6.8,1182,6.7,101682,7000000,20901859
454,6957,tt0405422,en,The 40 Year Old Virgin,11/08/2005,6.4,5860,7.1,441611,26000000,177378645
456,11460,tt0421239,en,Red Eye,19/08/2005,6.3,1584,6.5,124488,26000000,57891803
459,16367,tt0434124,en,Kinky Boots,30/08/2005,6.7,293,7.1,20460,10000000,9950133
461,5236,tt0373469,en,Kiss Kiss Bang Bang,5/09/2005,7.2,2300,7.5,229139,15000000,15785148
462,10851,tt0365686,en,Revolver,11/09/2005,6.4,1136,6.3,97345,27000000,7164778
463,9813,tt0414951,en,The Quiet,12/09/2005,6.2,211,6.2,16944,900000,381420
464,3933,tt0121164,en,Corpse Bride,12/09/2005,7.5,7735,7.3,278440,40000000,118133252
465,13994,tt0368222,en,Romance & Cigarettes,13/09/2005,5.9,114,6.2,12453,0,2945242
466,5471,tt0402057,en,Beowulf & Grendel,14/09/2005,5.7,180,5.8,18203,0,92076
469,9007,tt0425123,en,Just Like Heaven,16/09/2005,6.9,2026,6.7,112015,58000000,102854431
470,4348,tt0414387,en,Pride & Prejudice,16/09/2005,8.1,6914,7.8,299767,28000000,121616555
473,86366,tt0455447,en,Forbidden Secrets,26/09/2005,4.5,6,4.9,505,0,0
474,9763,tt0380389,en,Goal!,29/09/2005,6.7,936,6.7,64027,10000000,27610873
475,11968,tt0378109,en,Into the Blue,30/09/2005,5.9,1293,5.9,77337,50000000,46117696
476,398,tt0379725,en,Capote,30/09/2005,7.0,1208,7.3,134814,7000000,49327405
478,7553,tt0348333,en,Waiting...,7/10/2005,6.3,657,6.7,99532,3000000,18637690
479,791,tt0432291,en,The Fog,14/10/2005,4.5,612,3.7,37763,18000000,46201432
480,14695,tt0285175,en,Havoc,16/10/2005,5.2,245,5.5,19539,9000000,0
483,31048,tt0428038,en,Sweet Land,21/10/2005,6.4,39,7.1,3985,0,0
486,1656,tt0386140,en,The Legend of Zorro,24/10/2005,6.1,2534,5.9,103331,75000000,142400065
488,215,tt0432348,en,Saw II,28/10/2005,6.6,4460,6.6,255668,4000000,147748505
489,27902,tt0409011,en,Love Wrecked,1/11/2005,5.1,434,4.8,14883,0,0
490,26116,tt0435696,en,The Mechanik,2/11/2005,5.1,54,5.5,3888,0,0
498,1904,tt0397535,en,Memoirs of a Geisha,6/12/2005,7.7,2586,7.3,151844,85000000,162242962
502,612,tt0408306,en,Munich,23/12/2005,7.1,2205,7.5,229168,70000000,130982129
511,25216,tt0439833,en,Steel City,1/01/2006,6.6,5,6.3,595,0,0
512,17179,tt0448166,en,Two Weeks,1/01/2006,6.1,23,6.4,2217,0,0
513,14202,tt0446755,en,The Painted Veil,1/01/2006,7.3,990,7.4,93672,19400000,26910847
517,9900,tt0456554,en,Grandma's Boy,6/01/2006,6.6,534,6.9,84749,5000000,6538177
518,7304,tt0404390,en,Running Scared,6/01/2006,7.0,877,7.3,100797,17000000,9500000
519,17379,tt0408985,en,Last Holiday,13/01/2006,7.1,593,6.5,33576,45000000,38399961
522,9754,tt0408345,en,Firewall,8/02/2006,5.8,794,5.8,58333,45000000,82800000
527,101916,tt0469810,en,"Live Once, Die Twice",20/02/2006,5.3,3,5.2,493,0,0
530,186,tt0425210,en,Lucky Number Slevin,24/02/2006,7.5,3537,7.7,315412,27000000,56308881
